CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"2,568",8,29,-,"4,120.85",60.60,65,"4,115.35","4,142.70",65,"19,000.00",195,5.10,5.40,390,-0.55,5.40,50.88,"43,156","4,154","88,647",
,"1,244",-104,313,-,"3,148.45",131.10,195,"3,130.95","3,151.25",65,"20,000.00",195,13.10,13.20,585,-4.80,13.10,44.37,"60,410","4,679","80,474",
,-,-,-,-,-,-,-,-,-,-,"20,850.00",65,21.50,22.90,650,-8.00,22.50,36.88,"13,971","4,026","5,541",
,-,-,-,-,-,-,-,-,"2,327.90",780,"20,900.00",975,22.40,25.30,65,4.10,24.15,36.69,"5,081","1,198","1,201",
,3,-,-,-,"2,537.65",4.20,780,"1,749.75","2,368.75",780,"20,950.00",195,24.65,25.75,260,-7.90,25.15,36.28,"8,220",167,"5,295",
,"5,553",23,724,-,"2,168.05",101.25,65,"2,154.45","2,170.90",65,"21,000.00",325,26.40,26.50,520,-10.30,26.50,35.96,"69,858","2,730","56,579",
,2,-,-,-,"2,101.85",4.40,"1,755","1,662.25","2,726.75",780,"21,050.00",130,27.70,28.40,195,-10.35,27.95,35.64,"2,664",315,751,
,2,-,-,-,"2,422.45",-,780,"1,605.90","2,366.60",780,"21,100.00",195,28.75,29.65,195,-11.50,29.35,35.28,"2,982",42,680,
,2,-,-,-,"2,005.80",4.40,780,"1,609.45","2,517.40",780,"21,150.00",390,29.50,31.35,390,-11.00,30.90,34.95,"3,776",-769,681,
,2,-,-,-,"2,296.30",0.30,780,"1,520.65","2,194.85",65,"21,200.00",195,31.45,32.75,325,-10.75,32.75,34.66,"6,359",187,"2,107",
,20,-,-,-,"1,909.20",6.45,780,"1,522.70","2,478.35",325,"21,250.00",195,33.40,35.45,65,-13.45,34.05,34.22,"1,370",49,462,
,3,-,-,-,"2,218.00",3.90,780,"1,443.80","2,048.85",65,"21,300.00",325,35.05,36.55,260,-14.40,35.20,33.74,"7,666",522,"1,636",
,1,-,-,-,"1,808.50",3.85,"1,755","1,412.80",-,-,"21,350.00",195,37.15,38.75,195,-13.50,38.50,33.69,"2,237",188,499,
,2,-,-,-,"1,767.00",4.15,"1,755","1,330.75",-,-,"21,400.00","1,85,770",20.65,-,-,-,-,-,-,-,-,
,4,-,-,-,"1,718.20",5.80,"1,755","1,299.90",-,-,"21,450.00",195,41.75,43.00,65,-14.20,42.25,32.91,"1,956",195,973,
,824,-105,216,-,"1,662.65",49.00,65,"1,641.95","1,712.20",65,"21,500.00","1,755",44.90,45.00,325,-14.40,44.50,32.55,"71,670","6,649","33,204",
,6,-,-,-,"1,631.60",5.25,"1,755","1,186.00",-,-,"21,550.00","1,66,595",21.40,-,-,-,-,-,-,-,-,
,3,-,-,-,"1,691.85",-,780,"1,130.95",-,-,"21,600.00","2,42,905",21.80,-,-,-,-,-,-,-,-,
,7,-,-,-,"1,536.65",4.85,780,"1,105.25",-,-,"21,650.00","1,73,875",22.30,-,-,-,-,-,-,-,-,
,5,-,-,-,"1,647.85",-,780,"1,089.65",-,-,"21,700.00","5,15,450",22.95,-,-,21.70,22.95,25.25,119,119,119,
,7,-,-,-,"1,446.60",4.55,780,"1,089.15","1,810.30",780,"21,750.00",65,60.05,61.20,65,-18.30,60.70,31.18,"9,174",182,"3,394",
,5,-,-,-,"1,380.00",-8.55,780,"1,059.70","1,452.20",780,"21,800.00",65,64.05,65.00,"1,040",-18.45,65.00,30.97,"27,064","1,503","4,445",
,5,-,-,-,"1,251.35",-,780,898.30,-,-,"21,850.00","2,69,100",25.90,-,-,-,-,-,-,-,-,
,6,-,-,-,"1,260.15",11.65,780,958.60,"1,326.60",130,"21,900.00",65,72.80,74.00,"1,755",-22.10,72.80,30.31,"19,037",213,"2,852",
,7,-,2,-,"1,203.65",-57.90,"1,755",910.90,"1,676.30",65,"21,950.00",65,76.95,80.05,195,-21.80,79.30,30.26,"3,855",-88,"1,642",
,"10,957",280,"2,308",24.85,"1,219.80",72.10,65,"1,218.00","1,231.40",65,"22,000.00",65,83.00,84.00,"1,560",-23.05,83.95,29.93,"1,46,620","-4,843","74,557",
,10,-,-,-,"1,168.30",1.50,780,856.80,"1,631.95",780,"22,050.00",65,89.00,90.60,195,-24.15,89.85,29.71,"5,053",-75,"1,287",
,9,-,2,35.37,"1,230.00",98.80,"1,755",815.65,"1,269.40",780,"22,100.00",260,93.85,96.70,260,-23.95,96.75,29.56,"17,500",41,"2,300",
,24,3,10,26.15,"1,099.40",19.05,65,765.90,"1,120.30",65,"22,150.00",65,100.05,104.00,65,-24.75,102.15,29.20,"3,440",-373,"1,043",
,37,-1,27,26.90,"1,064.40",112.90,65,"1,041.80","1,072.65",65,"22,200.00",390,108.00,108.95,260,-29.90,109.00,28.96,"29,915","1,013","5,079",
,15,-,2,21.58,976.25,-623.75,"1,755",652.60,-,-,"22,250.00","1,71,405",83.10,-,-,79.10,83.10,25.34,101,91,91,
,42,-6,44,25.16,965.70,77.20,65,951.10,"1,207.45",65,"22,300.00",65,120.95,124.20,455,-31.70,121.15,28.20,"30,050",701,"6,738",
,19,7,26,27.06,945.25,137.20,65,694.00,"1,233.60",65,"22,350.00",715,128.45,133.60,65,-36.85,128.45,27.87,"7,786",-479,"2,059",
,124,-7,302,25.38,887.95,88.85,65,853.00,894.75,130,"22,400.00",65,138.25,140.30,455,-33.05,140.30,27.91,"20,594",-406,"6,384",
,41,-6,19,25.21,847.30,56.45,"1,755",609.70,"1,016.00",65,"22,450.00",65,147.10,151.00,65,-32.60,149.60,27.66,"8,078",134,"2,093",
,"4,540",-119,"3,682",24.50,801.00,57.25,455,801.00,809.45,65,"22,500.00",260,158.00,159.00,"1,690",-37.70,158.00,27.30,"1,09,739","6,175","43,198",
,68,-10,97,24.65,765.20,45.30,65,736.10,781.70,65,"22,550.00",325,166.35,170.55,65,-41.00,170.80,27.24,"8,542",-247,"1,636",
,417,105,663,24.45,726.15,72.40,65,719.65,728.55,65,"22,600.00",65,178.60,180.35,65,-41.15,180.70,26.90,"42,500","5,038","11,594",
,146,7,119,24.13,686.25,70.10,65,664.25,707.95,65,"22,650.00",195,188.50,193.50,65,-46.75,188.50,26.35,"10,053","1,108","2,522",
,663,106,"1,237",24.08,650.60,55.40,65,642.75,651.30,65,"22,700.00",65,201.25,203.90,130,-45.55,204.05,26.33,"33,943","3,306","9,819",
,914,108,368,23.96,614.95,57.40,65,607.00,625.15,65,"22,750.00",65,213.20,218.05,260,-43.20,218.05,26.14,"9,502",589,"2,490",
,"2,077",313,"3,947",23.74,578.80,63.80,65,572.50,580.25,65,"22,800.00",975,230.00,231.00,"1,040",-46.85,231.00,25.82,"59,555",956,"15,211",
,400,47,980,23.30,540.40,43.90,130,538.80,545.85,65,"22,850.00",195,242.75,245.40,325,-48.95,242.75,25.36,"10,249",82,"2,164",
,"1,880",173,"4,795",24.23,522.65,69.35,130,504.80,519.75,195,"22,900.00",130,259.00,261.60,65,-54.60,261.90,25.36,"34,548",793,"8,837",
,"1,112",-64,"2,283",22.81,471.85,40.40,65,471.85,483.55,65,"22,950.00",130,275.65,278.95,65,-57.15,275.65,24.92,"15,264",655,"3,820",
,"29,395","-1,182","70,277",22.81,442.70,39.40,"1,170",440.05,441.60,65,"23,000.00",130,293.00,294.75,195,-58.85,293.35,24.69,"2,08,467","8,082","68,146",
,"1,862",500,"5,495",22.65,412.25,32.05,65,407.30,414.65,65,"23,050.00",130,312.75,316.15,260,-50.95,317.00,24.79,"21,153",687,"3,585",
,"9,021","1,785","42,371",22.20,378.55,28.05,975,378.85,381.15,455,"23,100.00",975,333.25,334.80,65,-56.35,334.75,24.44,"75,886","2,633","12,588",
,"3,349","1,212","14,401",22.23,353.15,27.40,"1,300",350.00,353.25,260,"23,150.00",975,354.40,355.70,195,-63.55,353.00,24.04,"25,318",888,"3,616",
,"25,804","8,199","1,26,440",22.00,325.05,26.15,910,325.25,326.70,195,"23,200.00",975,376.70,378.20,195,-61.25,376.95,23.96,"1,52,046","6,235","26,639",
,"4,437",-476,"34,724",21.59,295.30,18.75,195,295.50,300.15,195,"23,250.00",65,393.90,400.85,195,-58.35,400.50,23.77,"41,089",-519,"3,690",
,"19,136","2,664","1,27,095",21.50,271.65,20.10,65,272.50,274.90,"1,235","23,300.00",65,420.00,425.80,65,-71.10,420.95,23.31,"1,26,819","2,403","17,449",
,"3,742",221,"24,595",21.16,245.60,16.55,195,245.60,251.20,65,"23,350.00",65,440.00,453.70,65,-76.25,439.25,22.63,"12,521",287,"2,378",
,"13,784",-473,"62,831",21.13,225.20,13.75,130,225.30,229.10,65,"23,400.00",195,474.00,479.50,130,-67.30,478.00,23.24,"37,205",-856,"13,165",
,"1,996",-581,"13,978",20.92,203.50,13.60,260,203.25,207.00,65,"23,450.00",65,494.75,509.75,65,-80.60,507.00,23.12,"2,812",-217,"2,299",
,"55,842","9,619","1,71,365",20.81,184.55,12.40,65,184.45,186.30,65,"23,500.00",65,531.25,538.55,260,-82.05,538.60,23.11,"61,583","-1,385","32,977",
,"3,479",597,"13,551",20.68,166.45,16.30,65,165.60,169.95,65,"23,550.00",65,560.05,586.65,65,-86.45,570.65,23.05,"1,860",92,"2,350",
,"13,628",483,"49,891",20.58,150.00,10.25,65,150.15,151.95,65,"23,600.00",65,596.15,604.35,65,-88.30,597.75,22.56,"11,533",-431,"8,331",
,"3,641",158,"10,438",20.68,137.15,13.15,65,132.85,137.30,195,"23,650.00","1,040",630.05,638.00,130,-92.65,626.05,22.06,819,-107,"2,579",
,"14,199","1,313","49,165",20.33,119.75,8.55,65,120.35,121.95,65,"23,700.00",65,667.00,672.90,65,-87.75,674.55,23.01,"6,870",-438,"8,581",
,"4,709",250,"17,009",19.73,100.80,-1.65,65,105.00,108.40,715,"23,750.00",65,696.80,721.75,65,-75.70,710.55,22.96,783,-133,"2,111",
,"24,469","4,103","72,287",20.28,96.35,4.95,130,95.05,96.55,260,"23,800.00",65,740.00,749.60,65,-95.15,741.80,22.43,"11,064","-3,438","15,032",
,"4,906",56,"15,733",20.07,84.10,1.35,195,83.70,86.25,195,"23,850.00",65,747.25,793.10,195,-84.55,781.05,22.47,553,-61,"2,644",
,"16,933","1,653","56,157",20.17,76.00,5.30,390,75.20,76.20,65,"23,900.00",65,811.20,833.10,65,-88.40,827.15,23.07,"2,988",-335,"5,530",
,"3,432",-209,"14,316",20.17,67.65,3.65,65,66.10,68.00,195,"23,950.00",65,834.10,883.90,65,-53.35,877.35,24.00,103,-18,"1,010",
,"75,625","2,450","2,12,920",20.19,60.30,4.65,260,58.45,60.30,260,"24,000.00",195,901.00,909.00,65,-96.45,901.00,22.38,"22,362","-3,512","50,131",
